model,model_gen,model_spec,trim,year,asking_price,miles_driven,fuel,seller_type,num_previous_owners,mileage,engine,max_power,torque,engine_max_power_torque
Indica,DLS,DLS,,2003,2500,43484.84848,Diesel,Individual,1,13.64 kmpl,1405 CC,54 bhp,83 Nm@ 2500 rpm,1405 54 83@2500
Indica,DLX,DLX,,2003,2000,43484.84848,Diesel,Individual,1,13.5 kmpl,1405 CC,54 bhp,85 Nm@ 2500 rpm,1405 54 85@2500
Indigo,LS,LS,,2004,4000,154184.8485,Diesel,Individual,2,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,LX,LX,,2004,5000,37272.72727,Diesel,Individual,3,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indica,V2,V2 DLS TC,,2004,2750,55909.09091,Diesel,Individual,3,16.8 kmpl,1405 CC,62 bhp,135 @ 3500,1405 62 135@2500
Indica,V2,V2 DLS TC,,2004,5000,24848.48485,Diesel,Individual,2,16.8 kmpl,1405 CC,62 bhp,135 @ 3500,1405 62 135@2500
Indica,V2,V2 DLS TC,,2004,4250,74545.45455,Diesel,Individual,2,16.8 kmpl,1405 CC,62 bhp,135 @ 3500,1405 62 135@2500
Indica,V2,V2 DLS TC,,2004,2500,168348.4848,Diesel,Individual,1,16.8 kmpl,1405 CC,62 bhp,135 @ 3500,1405 62 135@2500
Indica,DLS,DLS,,2005,3750,68333.33333,Diesel,Individual,2,13.64 kmpl,1405 CC,54 bhp,83 Nm@ 2500 rpm,1405 54 83@2500
Indica,DLS,DLS,,2005,4750,31060.60606,Diesel,Individual,2,13.64 kmpl,1405 CC,54 bhp,83 Nm@ 2500 rpm,1405 54 83@2500
Indica,DLS,DLS,,2005,3000,62121.21212,Diesel,Individual,4,13.64 kmpl,1405 CC,54 bhp,83 Nm@ 2500 rpm,1405 54 83@2500
Indigo,GLS,GLS,,2005,4500,45969.69697,Petrol,Individual,2,12.8 kmpl,1396 CC,85 bhp,105Nm @2600rpm,1396 85 105@2600
Indigo,GLX,GLX,,2005,5000,55909.09091,Petrol,Individual,2,12.8 kmpl,1396 CC,85 bhp,"120@ 3,500rpm",1396 85 120@3500
Indigo,LS,LS,,2005,4500,74545.45455,Diesel,Individual,4,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,LX,LX,,2005,7000,55909.09091,Diesel,Individual,3,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indica,DLS,DLS,,2006,8500,47833.33333,Diesel,Individual,1,13.64 kmpl,1405 CC,54 bhp,83 Nm@ 2500 rpm,1405 54 83@2500
Indigo,LS,LS BSII,,2006,5000,74545.45455,Diesel,Individual,3,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indica,V2,V2 DL BSIII,,2006,3375,68333.33333,Diesel,Individual,4,17.88 kmpl,1396 CC,53 bhp,85Nm@ 2500rpm,1396 53 85@2500
Indica,V2,V2 DLS TC,,2006,5500,54666.66667,Diesel,Individual,2,16.8 kmpl,1405 CC,62 bhp,135 @ 3500,1405 62 135@2500
Indica,V2,V2 DLS TC,,2006,5000,68333.33333,Diesel,Individual,3,16.8 kmpl,1405 CC,62 bhp,135 @ 3500,1405 62 135@2500
Indica,V2,V2 DLX TC,,2006,4250,74545.45455,Diesel,Individual,3,16.8 kmpl,1405 CC,68 bhp,"13@ 2,500(kgm@ rpm)",1405 68 13@2500
Indica,V2,V2 eXeta GLS,,2006,5500,33249.13636,Petrol,Dealer,1,16.84 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,1193 64 100@2700
Indica,GLS,GLS BS IV,,2007,3900,23606.06061,Petrol,Individual,2,15.3 kmpl,1193 CC,65 bhp,102Nm@ 2600rpm,1193 65 102@2600
Indica,GLS,GLS BS IV,,2007,3750,62121.21212,Petrol,Individual,2,15.3 kmpl,1193 CC,65 bhp,102Nm@ 2600rpm,1193 65 102@2600
Indica,GLS,GLS BS IV,,2007,6250,31060.60606,Petrol,Individual,1,15.3 kmpl,1193 CC,65 bhp,102Nm@ 2600rpm,1193 65 102@2600
Indica,GLS,GLS BS IV,,2007,4000,49696.9697,Petrol,Individual,3,15.3 kmpl,1193 CC,65 bhp,102Nm@ 2600rpm,1193 65 102@2600
Indigo,Grand,Grand Dicor,,2007,5000,55909.09091,Diesel,Individual,3,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,LS,LS,,2007,6500,62121.21212,Diesel,Individual,3,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,LS,LS,,2007,4508.85,80136.36364,Diesel,Individual,3,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,LX,LX,,2007,7500,74545.45455,Diesel,Individual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,LX,LX,,2007,6000,83863.63636,Diesel,Individual,1,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indica,V2,V2 2001-2011 DLS BSIII,,2007,2750,47186.0303,Diesel,Individual,2,17.88 kmpl,1396 CC,53 bhp,85Nm@ 2500rpm,1396 53 85@2500
Indica,V2,V2 DL BSIII,,2007,4500,31060.60606,Diesel,Individual,1,17.88 kmpl,1396 CC,53 bhp,85Nm@ 2500rpm,1396 53 85@2500
Indica,V2,V2 DLE BSII,,2007,4500,55909.09091,Diesel,Individual,3,17.2 kmpl,1396 CC,53.5 bhp,85Nm@ 2500rpm,1396 53.5 85@2500
Indica,V2,V2 DLE BSII,,2007,2500,49696.9697,Diesel,Individual,3,17.2 kmpl,1396 CC,53.5 bhp,85Nm@ 2500rpm,1396 53.5 85@2500
Indica,V2,V2 DLE BSIII,,2007,10000,31060.60606,Diesel,Individual,1,17.88 kmpl,1396 CC,53 bhp,85Nm@ 2500rpm,1396 53 85@2500
