make,model,model_contd,year,asking_price,miles_driven,fuel,seller_type,transmission,num_previous_owners,mileage,engine,max_power,torque,seats,engine_max_power_torque
Tata,Indigo,CR4,2011,10000,52381.22727,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2011,9450,43484.84848,Diesel,Individual,Manual,2,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2011,10000,43484.84848,Diesel,Individual,Manual,2,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2011,7650,31060.60606,Diesel,Individual,Manual,2,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2011,10500,108712.1212,Diesel,Individual,Manual,2,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2012,15000,24848.48485,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2012,10000,55909.09091,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2012,10000,142878.7879,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2012,11499.95,115545.4545,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2013,12500,62121.21212,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2013,12500,62121.21212,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2013,14500,15530.30303,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2013,14500,15530.30303,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2013,14500,15530.30303,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CS eGLS BS IV,2013,12500,31060.60606,Petrol,Individual,Manual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,5,1193 64 100@2700
Tata,Indigo,CS eGLS BS IV,2017,18100,64606.06061,Petrol,Individual,Manual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,5,1193 64 100@2700
Tata,Indigo,CS eGLX BS IV,2011,7500,31060.60606,Petrol,Individual,Manual,2,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,5,1193 64 100@2700
Tata,Indigo,CS eGLX BS IV,2011,9050,43484.84848,Petrol,Individual,Manual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,5,1193 64 100@2700
Tata,Indigo,CS eGLX BS IV,2011,4500,55909.09091,Petrol,Individual,Manual,2,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,5,1193 64 100@2700
Tata,Indigo,CS eLS BS IV,2012,11000,55909.09091,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLS BS IV,2012,11000,55909.09091,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2010,16000,26090.90909,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2010,10000,37272.72727,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2011,7500,74545.45455,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2011,11000,49696.9697,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2012,12950,21742.42424,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2012,12950,21742.42424,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2012,7750,31060.60606,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2014,10750,62121.21212,Diesel,Individual,Manual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2014,10750,62121.21212,Diesel,Individual,Manual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2014,12500,31060.60606,Diesel,Individual,Manual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2017,19250,96287.87879,Diesel,Individual,Manual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
